source_table,hub_code,columns,provenance
BJAZ_FLEXI_CYBER_DATA,HUB_POLICY,MASTER_POLICY_NO,discovered
BJAZ_FLEXI_CYBER_DATA,HUB_PARTY,BDR_CODE,discovered
BJAZ_FLEXI_CYBER_DATA,HUB_PARTY,CLIENT_ID,discovered
BJAZ_FLEXI_CYBER_DATA,HUB_PARTY,CUSTOMER_ID,discovered
BJAZ_FLEXI_CYBER_DATA,HUB_PARTY,SM_CODE,discovered
BJAZ_FLEXI_CYBER_DATA,HUB_PARTY,USER_ID,discovered
BJAZ_FLEXI_CYBER_DATA,HUB_PRODUCT,PRODUCT_CODE,discovered
BJAZ_FLEXI_CYBER_DATA,HUB_DISTRIBUTION_CHANNEL,IMD_CODE,discovered
BJAZ_FLEXI_CYBER_DATA,HUB_DISTRIBUTION_CHANNEL,PARTNER_ID,discovered
BJAZ_FLEXI_CYBER_DATA,HUB_DISTRIBUTION_CHANNEL,SUBIMD_ID,discovered
BJAZ_FLEXI_CYBER_DATA,HUB_PROPOSAL,BA_LEAD_NO,discovered
BJAZ_FLEXI_CYBER_DATA,HUB_PROPOSAL,KGC_PROPOSAL_NUMBER,discovered
BJAZ_FLEXI_CYBER_DATA,HUB_FINANCIAL_ACCOUNT,S_ACCOUNT_NUMBER,discovered
BJAZ_FPLM_OD_HOSPITAL_DETAILS,HUB_CLAIM,CLAIM_ID,discovered
BJAZ_GC_GROUP_GUARD_DTLS,HUB_POLICY,POLICY_REF,discovered
BJAZ_GC_GROUP_GUARD_DTLS,HUB_PARTY,USER_ID,discovered
BJAZ_GC_GROUP_GUARD_DTLS,HUB_PRODUCT,PLAN_ID,discovered
BJAZ_GC_GROUP_GUARD_DTLS,HUB_PRODUCT,PRODUCT_CODE,discovered
BJAZ_GC_GROUP_GUARD_DTLS,HUB_DISTRIBUTION_CHANNEL,LG_CODE,discovered
BJAZ_GC_GROUP_GUARD_DTLS,HUB_DISTRIBUTION_CHANNEL,PARTNER_ID,discovered
BJAZ_GC_GROUP_GUARD_DTLS,HUB_LOCATION,LOCATION_CODE,discovered
BJAZ_GG_PREM_DTLS,HUB_POLICY,MASTER_POLICY_NO,discovered
BJAZ_GG_PREM_DTLS,HUB_PARTY,BDR_CODE,discovered
BJAZ_GG_PREM_DTLS,HUB_PARTY,CLIENT_ID,discovered
BJAZ_GG_PREM_DTLS,HUB_PARTY,CUSTOMER_ID,discovered
BJAZ_GG_PREM_DTLS,HUB_PARTY,SM_CODE,discovered
BJAZ_GG_PREM_DTLS,HUB_PARTY,USER_ID,discovered
BJAZ_GG_PREM_DTLS,HUB_PRODUCT,PRODUCT_CODE,discovered
BJAZ_GG_PREM_DTLS,HUB_DISTRIBUTION_CHANNEL,IMD_CODE,discovered
BJAZ_GG_PREM_DTLS,HUB_DISTRIBUTION_CHANNEL,PARTNER_ID,discovered
BJAZ_GG_PREM_DTLS,HUB_DISTRIBUTION_CHANNEL,SUBIMD_ID,discovered
BJAZ_GG_PREM_DTLS,HUB_PROPOSAL,BA_LEAD_NO,discovered
BJAZ_GG_PREM_DTLS,HUB_PROPOSAL,KGC_PROPOSAL_NUMBER,discovered
BJAZ_GG_PREM_DTLS,HUB_FINANCIAL_ACCOUNT,S_ACCOUNT_NUMBER,discovered
BJAZ_HAT_DEDUTION_SUMMARY,HUB_CLAIM,CASE_ID,discovered
BJAZ_HDFC_FLEXIPA,HUB_PARTY,BDR_CODE,discovered
BJAZ_HDFC_FLEXIPA,HUB_PARTY,CLIENT_ID,discovered
BJAZ_HDFC_FLEXIPA,HUB_PARTY,CUSTOMER_ID,discovered
BJAZ_HDFC_FLEXIPA,HUB_PARTY,SM_CODE,discovered
BJAZ_HDFC_FLEXIPA,HUB_PARTY,USER_ID,discovered
BJAZ_HDFC_FLEXIPA,HUB_PRODUCT,PRODUCT_CODE,discovered
BJAZ_HDFC_FLEXIPA,HUB_DISTRIBUTION_CHANNEL,IMD_CODE,discovered
BJAZ_HDFC_FLEXIPA,HUB_DISTRIBUTION_CHANNEL,PARTNER_ID,discovered
BJAZ_HDFC_FLEXIPA,HUB_DISTRIBUTION_CHANNEL,SUBIMD_ID,discovered
BJAZ_HDFC_FLEXIPA,HUB_PROPOSAL,BA_LEAD_NO,discovered
BJAZ_HDFC_FLEXIPA,HUB_FINANCIAL_ACCOUNT,S_ACCOUNT_NUMBER,discovered
BJAZ_HDFC_SURK_SHOP,HUB_POLICY,MASTER_POLICY_NO,discovered
BJAZ_HDFC_SURK_SHOP,HUB_POLICY,POLICY_REF,discovered
BJAZ_HDFC_SURK_SHOP,HUB_PARTY,USER_ID,discovered
BJAZ_HDFC_SURK_SHOP,HUB_PRODUCT,PRODUCT_CODE,discovered
BJAZ_HDFC_SURK_SHOP,HUB_DISTRIBUTION_CHANNEL,IMD_CODE,discovered
BJAZ_HDFC_SURK_SHOP,HUB_DISTRIBUTION_CHANNEL,PARTNER_ID,discovered
BJAZ_HDFC_SURK_SHOP,HUB_DISTRIBUTION_CHANNEL,SUBIMD_ID,discovered
BJAZ_HDFC_SURK_SHOP,HUB_QUOTE,QUOTE_NO,discovered
BJAZ_HM_CLAIM_PAYMENT,HUB_CLAIM,CLAIM_ID,discovered
BJAZ_HM_CLAIM_PAYMENT,HUB_CLAIM,CLID_HPMS,discovered
BJAZ_HM_CLM_ENHANCE,HUB_CLAIM,CLAIM_ID,discovered
BJAZ_HM_CLM_ENHANCE,HUB_CLAIM,CLID_HPMS,discovered
BJAZ_HM_CLM_REGISTER_EXTN,HUB_CLAIM,CLAIM_ID,discovered
BJAZ_HM_CLM_REGISTER_EXTN,HUB_CLAIM,CLID_HPMS,discovered
BJAZ_HM_PCS_DES_MASTER,HUB_ASSESSMENT,PCS_ID,discovered
BJAZ_HM_PCS_MASTER,HUB_ASSESSMENT,PCS_ID,discovered
BJAZ_INVESTIGATION_REPORTS,HUB_CLAIM,CLAIM_ID,discovered
BJAZ_PA_DETL_EXTN,HUB_POLICY,CONTRACT_ID,discovered
BJAZ_PA_DETL_EXTN,HUB_DISTRIBUTION_CHANNEL,PARTNER_ID,discovered
BJAZ_PC_ONLINE_POL_DTLS_MV,HUB_POLICY,CONTRACT_ID,discovered
BJAZ_PC_ONLINE_POL_DTLS_MV,HUB_PARTY,PART_ID,discovered
BJAZ_PC_ONLINE_POL_DTLS_MV,HUB_PRODUCT,PRODUCT_4DIGIT_CODE,discovered
BJAZ_PC_ONLINE_POL_DTLS_MV,HUB_DISTRIBUTION_CHANNEL,MAIN_AGENT_CODE,discovered
BJAZ_PC_ONLINE_POL_DTLS_MV,HUB_ORG_UNIT,COMPANY_ORG_UNIT,discovered
BJAZ_PC_ONLINE_POL_DTLS_MV,HUB_ORG_UNIT,DEPARTMENT_CODE,discovered
BJAZ_PNB_GPA_DATA,HUB_POLICY,MASTER_POLICY_NO,discovered
BJAZ_PNB_GPA_DATA,HUB_PARTY,BDR_CODE,discovered
BJAZ_PNB_GPA_DATA,HUB_PARTY,CLIENT_ID,discovered
BJAZ_PNB_GPA_DATA,HUB_PARTY,CUSTOMER_ID,discovered
BJAZ_PNB_GPA_DATA,HUB_PARTY,SM_CODE,discovered
BJAZ_PNB_GPA_DATA,HUB_PARTY,USER_ID,discovered
BJAZ_PNB_GPA_DATA,HUB_PRODUCT,PRODUCT_CODE,discovered
BJAZ_PNB_GPA_DATA,HUB_DISTRIBUTION_CHANNEL,IMD_CODE,discovered
BJAZ_PNB_GPA_DATA,HUB_DISTRIBUTION_CHANNEL,PARTNER_ID,discovered
BJAZ_PNB_GPA_DATA,HUB_DISTRIBUTION_CHANNEL,SUBIMD_ID,discovered
BJAZ_PNB_GPA_DATA,HUB_LOCATION,LOCATIONCODE,discovered
BJAZ_PNB_GPA_DATA,HUB_PROPOSAL,BA_LEAD_NO,discovered
BJAZ_PNB_GPA_DATA,HUB_PROPOSAL,KGC_PROPOSAL_NUMBER,discovered
BJAZ_PNB_GPA_DATA,HUB_FINANCIAL_ACCOUNT,S_ACCOUNT_NUMBER,discovered
BJAZ_RR_PREM_DTLS,HUB_POLICY,MASTER_POLICY_NO,discovered
BJAZ_RR_PREM_DTLS,HUB_PARTY,BDR_CODE,discovered
BJAZ_RR_PREM_DTLS,HUB_PARTY,CLIENT_ID,discovered
BJAZ_RR_PREM_DTLS,HUB_PARTY,CUSTOMER_ID,discovered
BJAZ_RR_PREM_DTLS,HUB_PARTY,SM_CODE,discovered
BJAZ_RR_PREM_DTLS,HUB_PARTY,USER_ID,discovered
BJAZ_RR_PREM_DTLS,HUB_PRODUCT,PRODUCT_CODE,discovered
BJAZ_RR_PREM_DTLS,HUB_DISTRIBUTION_CHANNEL,IMD_CODE,discovered
BJAZ_RR_PREM_DTLS,HUB_DISTRIBUTION_CHANNEL,PARTNER_ID,discovered
BJAZ_RR_PREM_DTLS,HUB_DISTRIBUTION_CHANNEL,SUBIMD_ID,discovered
BJAZ_RR_PREM_DTLS,HUB_PROPOSAL,BA_LEAD_NO,discovered
BJAZ_RR_PREM_DTLS,HUB_PROPOSAL,KGC_PROPOSAL_NUMBER,discovered
BJAZ_RR_PREM_DTLS,HUB_FINANCIAL_ACCOUNT,S_ACCOUNT_NUMBER,discovered
BJAZ_SCRUTINY_IP_DTLS,HUB_DISTRIBUTION_CHANNEL,PARTNER_ID,discovered
BJAZ_SCRUTINY_IP_DTLS,HUB_ASSESSMENT,SCRUTINY_NO,discovered
BJAZ_STARPKG_FF_DTLS,HUB_POLICY,CONTRACT_ID,discovered
BJAZ_STARPKG_FF_DTLS,HUB_DISTRIBUTION_CHANNEL,PARTNER_ID,discovered
BJAZ_SUPER_SURAKSHA_DTLS,HUB_POLICY,CONTRACT_ID,discovered
BJAZ_SUPER_SURAKSHA_DTLS,HUB_POLICY,POLICY_REF,discovered
BJAZ_SUPER_SURAKSHA_DTLS,HUB_PARTY,CUSTOMER_ID,discovered
